video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
Jw1Y-zhQURU,17.14.11,John Lewis Christmas Ad 2017 - #MozTheMonster,John Lewis,26,2017-11-10T07:38:29.000Z,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",7224515,55681,10247,9479,FALSE,FALSE,FALSE
3s1rvMFUweQ,17.14.11,Taylor Swift: …Ready for It? (Live) - SNL,Saturday Night Live,24,2017-11-12T06:24:44.000Z,"SNL|""Saturday Night Live""|""SNL Season 43""|""Episode 1730""|""Tiffany Haddish""|""Taylor Swift""|""Taylor Swift Ready for It""|""s43""|""s43e5""|""episode 5""|""live""|""new york""|""comedy""|""sketch""|""funny""|""hilarious""|""late night""|""host""|""music""|""guest""|""laugh""|""impersonation""|""actor""|""improv""|""musician""|""comedian""|""actress""|""If Loving You Is Wrong""|""Oprah Winfrey""|""OWN""|""Girls Trip""|""The Carmichael Show""|""Keanu""|""Reputation""|""Look What You Made Me Do""|""ready for it?""",1053632,25561,2294,2757,FALSE,FALSE,FALSE
n1WpP7iowLc,17.14.11,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,10,2017-11-10T17:00:03.000Z,"Eminem|""Walk""|""On""|""Water""|""Aftermath/Shady/Interscope""|""Rap""",17158579,787420,43420,125882,FALSE,FALSE,FALSE
PUTEiSjKwJU,17.14.11,Goals from Salford City vs Class of 92 and Friends at The Peninsula Stadium!,Salford City Football Club,17,2017-11-13T02:30:38.000Z,"Salford City FC|""Salford City""|""Salford""|""Class of 92""|""University of Salford""|""Salford Uni""|""Non League""|""National League""|""National League North""",27833,193,12,37,FALSE,FALSE,FALSE
rHwDegptbI4,17.14.11,Dashcam captures truck's near miss with child in Norway,Cute Girl Videos,25,2017-11-13T01:45:13.000Z,[none],9815,30,2,30,FALSE,FALSE,FALSE
AumaWl0TNBo,17.14.11,How My Relationship Started!,PointlessBlogVlogs,24,2017-11-11T17:00:00.000Z,"pointlessblog|""pointlessblogtv""|""pointlessblogvlogs""|""games""|""gaming""|""daily""|""vlog""|""zoe""|""sugg""|""funny""|""zoella""|""zozeebo""|""new""|""house""|""nala""|""cute""|""puppy""|""british""|""teen""|""couple""|""zalfie""|""how""|""my""|""relationship""|""started""|""first""|""time""|""kiss""|""niomi""|""smart""|""trip""|""adventure""|""travel""|""holiday""|""merch""|""pb""|""office""|""tour""",1182775,52708,1431,2333,FALSE,FALSE,FALSE
2Vv-BfVoq4g,17.14.11,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,2017-11-09T11:04:14.000Z,"edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""",33523622,1634124,21082,85067,FALSE,FALSE,FALSE
#NAME?,17.14.11,CHRISTMAS HAS GONE TO MY HEAD,MoreZoella,22,2017-11-10T19:19:43.000Z,"zoe sugg|""zoella""|""zoe""|""vlog""|""vlogging""|""vlogs""|""daily""|""every""|""day""|""british""|""in the life""|""brighton""|""nala""|""puppy""|""pug""|""alfie deyes""|""pointlessblog""|""beauty""|""fashion""|""makeup""|""lifestyle""|""life""|""clothes""|""outfits""|""dog""|""home""|""interiors""|""books""|""food""|""baking""|""christmas""",1164201,57309,749,624,FALSE,FALSE,FALSE
LMCuKltaY3M,17.14.11,Elbow - Golden Slumbers (John Lewis Advert 2017),ElbowVEVO,10,2017-11-10T08:00:01.000Z,"Elbow|""Golden""|""Slumbers""|""Polydor""|""Alternative""",154494,2163,147,211,FALSE,FALSE,FALSE
9t9u_yPEidY,17.14.11,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,2017-11-10T15:00:00.000Z,"Jennifer Lopez ft. Wisin|""Jennifer Lopez ft. Wisin Music""|""Jennifer Lopez ft. Wisin Official Video""|""Jennifer Lopez ft. Wisin Video""|""Jennifer Lopez ft. Wisin Video Oficial""|""Jennifer Lopez ft. Wisin Nuevo Video""|""Jennifer Lopez ft. Wisin New Video""|""Amor""|""Amor Official Video""|""Official Video""|""Amor Single""|""Single""|""Jennifer Lopez ft. Wisin New Single""|""Jennifer Lopez ft. Wisin Single""|""Jennifer Lopez ft. Wisin Amor""|""Jennifer""|""Lopez""",9548677,190084,15015,11473,FALSE,FALSE,FALSE
ONQ-fAp5X64,17.14.11,CAN BABIES DO GYMNASTICS?  **World Record**,Nile Wilson,17,2017-11-11T10:30:00.000Z,"nile wilson|""nile wilson gymnastics""|""nile wilson olympics""|""olympic gymnast""|""amazing gymnastics""|""gymnastics""|""strength training""|""strength""|""hard work""|""vlogging""|""vlog""|""success""|""fitness""|""world record""|""has to be a world record""|""can babies do gymnastics""|""youngest gymnast in the world""|""ultimate gymnastics challenge""|""trampoline challenge""|""gymmastics challenge""|""baby gymnastics""",306724,9591,266,448,FALSE,FALSE,FALSE
Dlwf5u2BLAg,17.14.11,"TV Reporter Interviews Alleged Bank Robber, Then Helps Police Catch Him",Inside Edition,25,2017-11-10T01:40:07.000Z,"reporter|""robbery""|""Crime""|""cat-news""|""police""|""bank""|""Georgia""|""offbeat""|""Inside Edition Offbeat""|""Inside Edition newsdesk""|""local news""|""bank robber""|""television reporter""|""television anchor""|""Gwinnett County""|""georgia""|""ashley thompson""",254314,1746,125,298,FALSE,FALSE,FALSE
NVCqz2BDfcQ,17.14.11,Gucci Mane  - Curve (ft. The Weeknd),OfficialGucciMane,10,2017-11-10T17:18:13.000Z,"Gucci Mane|""The Weeknd""|""Curve""|""Official""|""Music Video""|""Atlantic""|""Records""|""trap""|""trap god""|""1017""|""gucci""|""mr davis""|""atlanta""|""rap""|""hip hop""",946859,37986,816,2006,FALSE,FALSE,FALSE
MyEqfBkzESU,17.14.11,EXTREME GOLDEN TAN TRANSFORMATION,John Maclean,26,2017-11-10T20:40:44.000Z,"Extreme Tan|""Tanning""|""Tanning Bed""|""How to get best Tan""|""Black to White""|""White To Tan""|""How to apply fake tan""|""Tanning Routine""|""Best fake tan""|""How to tan faster in the sun""|""How to make tan last""|""tanned skin""|""tan makeup""",300617,8133,2693,2911,FALSE,FALSE,FALSE
b4vTZx_AtHk,17.14.11,How To Dry a Shirt in 30 Seconds,HowToBasic,26,2017-11-09T18:36:48.000Z,"how to dry a shirt in 30 seconds|""how to dry a shirt""|""life hack""|""how to quickly dry clothing""|""how to dry a shirt fast""|""quickly dry clothes""|""quickly dry clothing""|""dry a shirt fast""|""howtobasic""",2063667,98804,11682,11443,FALSE,FALSE,FALSE
BsfhHKx6ajA,17.14.11,Attracting An Alpaca With An Accordion | Nowhere Else,Good Mythical Morning,24,2017-11-10T11:00:00.000Z,"rhett and link|""gmm""|""good mythical morning""|""rhett and link good mythical morning""|""good mythical morning rhett and link""|""mythical morning""|""gmm food""|""Season 12""|""attracting an alpaca with an accordion""|""alpaca""|""accordion""|""apple pie""|""abraham lincoln""|""rhett link alpaca""|""gmm alpaca""|""gmm challenge""|""rhett link challenge""|""gmm bit""|""rhett link bit""|""llama""|""alpacas""|""comedy""|""animals""|""gmm music""|""try not to laugh""|""experiment""|""challenge""",728547,12553,2146,1143,FALSE,FALSE,FALSE
DIU3xPdhCBI,17.14.11,Sam Smith surprises brides at their wedding! (At The BBC),BBC Music,10,2017-11-09T22:26:10.000Z,"bbc|""music""|""bbc music""|""Sam Smith""|""Wedding""|""Sam Smith At The BBC""|""At the BBC""",893462,22326,833,943,FALSE,FALSE,FALSE
