video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
kzwfHumJyYc,17.14.11,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,Lokdhun Punjabi,1,2017-11-12T12:20:39.000Z,"sharry mann|""sharry mann new song""|""sharry mann cute munda""|""sharry mann latest song""|""sharry mann punjabi song 2017""|""parmish verma""|""parmish verma new song""|""parmish verma sharry mann""|""parmish verma sharry mann new song""|""parmish verma cute munda""|""new punjabi song 2017""|""punjabi song 2017""|""parmish verma new song 2017""|""parmish verma latest song 2017""|""punjabi songs 2017""",1096327,33966,798,882,FALSE,FALSE,FALSE
zUZ1z7FwLc8,17.14.11,"पीरियड्स के समय, पेट पर पति करता ऐसा, देखकर दंग रह जायेंगे",HJ NEWS,25,2017-11-13T05:43:56.000Z,"पीरियड्स के समय|""पेट पर पति करता ऐसा""|""देखकर दंग रह जायेंगे""|""latest news""|""today news""|""news""|""breaking news""|""current news""|""world news""|""hj news updates""|""bollywood updates""|""news channel in hindi""|""entertainment news""|""merrage""|""love""|""break up""|""perideus time""|""pragenent girl""|""baby born""",590101,735,904,0,TRUE,FALSE,FALSE
10L1hZ9qa58,17.14.11,Stylish Star Allu Arjun @ ChaySam Wedding Reception | TFPC,TFPC,24,2017-11-12T15:48:08.000Z,"Stylish Star Allu Arjun @ ChaySam Wedding Reception|""Stylish Star Allu Arjun""|""ChaySam Wedding Reception""|""nagachaitanya""|""samantha""|""chaysam""|""chay sam""|""naga chaitanya and samantha wedding reception""|""wedding reception""|""nagarjuna""|""akkineni wedding reception""|""tfpc""|""telugu cinema""|""celebrities @ chaysam wedding reception""",473988,2011,243,149,FALSE,FALSE,FALSE
N1vE8iiEg64,17.14.11,Eruma Saani | Tamil vs English,Eruma Saani,23,2017-11-12T07:08:48.000Z,"Eruma Saani|""Tamil Comedy Videos""|""Films""|""Movies""|""Harija""|""Short""|""Film""|""Eruma Sani""|""Eruma Saani Videos""|""Eruma Saani Short Film""|""Eruma Saani Comedy""|""Eruma Saani Harija""|""Eruma Saani Tamil vs English""|""Tamil vs English""|""Tamil""|""English""|""Hindi""|""TTV Dinakaran""|""Sasikala""|""Sasikala income tax raid""",1242680,70353,1624,2684,FALSE,FALSE,FALSE
kJzGH0PVQHQ,17.14.11,why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception | Filmylooks,Filmylooks,24,2017-11-13T01:14:16.000Z,"Filmylooks|""latest news""|""telugu movies""|""telugu news""|""Tollywood news""|""why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception""|""why Samantha became EMOTIONAL""|""samantha emotional moment""|""ChaySam Wedding Reception video""|""Naga Chaitanya and Samantha Wedding Reception LIVE""|""samantha ruth prabhu""",464015,492,293,66,FALSE,FALSE,FALSE
il_pSa5l98w,17.14.11,"MCA (Middle Class Abbayi) TEASER - Nani,Sai Pallavi, Dil Raju, Devi Sri Prasad, Sriram Venu",Dil Raju,24,2017-11-10T04:29:50.000Z,"Nenu Local|""Nenu Local Telugu Movie""|""Nani""|""Sai Pallavi""|""Dil Raju""|""Devi Sri Prasad""|""Telugu Latest Movies""|""Telugu Full Movies""|""Telugu Comedy Movies""|""Nani Trailer""|""Nani Movies""|""MCA MOVIE""|""Middle Class Abbayi""|""MCA""|""MCA - Middle class abbayi""|""Fidaa""|""Nani MCA""|""MCA Trailer""|""MCA Teaser""|""MCA First Look""|""Nani MCA Teaser""|""Nani MCA Trailer""",6106669,98612,4185,4763,FALSE,FALSE,FALSE
7MxiQ4v0EnE,17.14.11,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,Speed Records,10,2017-11-11T16:41:15.000Z,"punjabi songs|""punjabi bhangra""|""punjabi music""|""punjabi bhangra music""|""punjabi latest songs""|""punjabi romantic songs""|""punjabi sad songs""|""punjabi""|""bhangra""|""latest punjabi songs 2017""|""punjab""|""desi""|""speed records""|""mankirt new song""|""daang""|""sukh sanghera""|""deep kahlon""|""mankirt aulakh""",5718766,127477,7134,8063,FALSE,FALSE,FALSE
c64I9HNpiOY,17.14.11,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,T-Series,10,2017-11-11T06:14:19.000Z,"Ek Dil Ek Jaan Video Song|""'Ek Dil Ek Jaan'""|""Ek Dil Ek Jaan Video""|""Padmavati""|""Padmavati songs""|""Padmavati movie song""|""deepika padukone""|""ranveer singh""|""ghoomar""|""padmavati song""|""Deepika Padukone""|""Shahid Kapoor""|""Sanjay Leela Bhansali""|""Padmavati Deepika Padukone""|""Ghoomar""|""Ghoomar Deepika Padukone""|""Padmavati Songs""|""new hindi songs""|""hindi songs""|""shahid kapoor""|""sanjay leela bhansali""|""indian songs""|""padmavati songs""|""love song""|""love song 2017""|""do dil ek jaan""",10588371,132738,8812,10847,FALSE,FALSE,FALSE
KObFEYCaRx8,17.14.11,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya, Samantha Akkineni, Nag, Venkatesh",Top Telugu Media,24,2017-11-13T04:42:26.000Z,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya|""Samantha Akkineni""|""Nag""|""Venkatesh""|""Megastar Chiranjeevi""|""Megastar Chiranjeevi @ #ChaySam Wedding Reception""|""Chiranjeevi @ #ChaySam Wedding Reception""|""Naga Chaitanya - Samantha Akkineni Reception LIVE""|""Naga Chaitanya""|""Samantha""|""Naga Chaitanya Samantha""|""Nagarjuna""|""#ChaiSam""|""Reception LIVE""|""Akkineni Reception""|""chiranjeevi rama charan""|""naga chaitanya samantha wedding reception""|""Akkineni family""|""Daggubati family""|""reception""",118223,520,53,23,FALSE,FALSE,FALSE
g8QsfJhFpjY,17.14.11,New bike vs Old bike - the reality,Jump Cuts,24,2017-11-12T04:30:01.000Z,"Jump cuts|""Jumpcuts""|""Tamil comedy""|""Tamil Comedy Videos""|""new bike vs old bike""|""jumpcuts reality""|""the reality""|""bike scenario jumpcuts""|""jumpcuts bike story""|""hari baskar videos""|""hari baskar jumpcuts""|""hari baskar bike video""|""tamil viral videos""|""viral videos""|""trending videos""|""jumpcuts trending videos""|""swathi videos""|""kaghs""|""jumpcuts old vs new""|""jumpcuts tamil comedy""|""jumpcuts youtube channel""|""hot story jumpcuts""|""hot scenario""",969030,59798,1545,2404,FALSE,FALSE,FALSE
